C(t);H(t-1);L(t-1);O(t)
1.1202500;1.1263600;1.1220000;1.1221500
1.1200800;1.1244000;1.1200000;1.1203200
1.1173500;1.1224700;1.1176000;1.1199700
1.1155800;1.1224000;1.1164000;1.1173400
1.1158100;1.1184300;1.1154000;1.1158100
1.1164600;1.1158100;1.1158100;1.1161000
1.1165900;1.1167500;1.1150000;1.1159500
1.1158800;1.1175000;1.1148000;1.1166000
1.1150300;1.1188000;1.1140000;1.1158600
1.1181500;1.1180300;1.1147000;1.1149400
1.1202100;1.1187500;1.1106000;1.1181700
1.1202000;1.1212100;1.1171000;1.1202000
1.1208100;1.1202000;1.1202000;1.1190000
1.1191300;1.1212000;1.1189400;1.1208900
1.1159800;1.1215200;1.1185000;1.1190500
1.1130900;1.1198400;1.1158000;1.1160200
1.1128000;1.1172500;1.1122000;1.1130500
1.1166300;1.1143400;1.1115000;1.1128600
1.1168600;1.1179800;1.1124000;1.1169000
1.1165000;1.1169000;1.1168600;1.1167500
1.1240300;1.1173200;1.1152000;1.1163600
1.1250000;1.1262000;1.1159000;1.1240900
1.1221000;1.1277400;1.1225000;1.1251700
1.1275100;1.1306800;1.1218000;1.1220700
1.1331500;1.1309000;1.1200000;1.1275900
1.1333000;1.1347900;1.1250000;1.1331400
1.1322600;1.1333000;1.1331400;1.1320000
1.1310700;1.1327700;1.1307000;1.1322500
1.1325400;1.1330900;1.1289000;1.1311300
1.1287100;1.1337600;1.1300000;1.1325800
1.1276400;1.1343500;1.1281000;1.1286900
1.1208900;1.1303800;1.1267000;1.1275700
1.1210900;1.1289300;1.1201000;1.1211000
1.1217900;1.1216000;1.1203000;1.1208000
1.1193600;1.1247100;1.1202000;1.1218100
1.1226200;1.1243000;1.1180000;1.1193200
1.1291700;1.1254200;1.1185000;1.1226000
1.1366700;1.1317400;1.1224600;1.1292000
1.1368500;1.1377800;1.1281000;1.1367200
1.1370000;1.1368500;1.1367000;1.1360000
1.1397700;1.1376300;1.1360000;1.1369600
1.1365100;1.1404100;1.1364400;1.1397800
1.1367800;1.1412200;1.1343000;1.1366200
1.1368600;1.1391400;1.1346000;1.1368600
1.1369300;1.1381600;1.1346000;1.1368900
1.1373300;1.1393600;1.1349000;1.1373300
1.1360000;1.1373300;1.1373300;1.1369700
1.1285000;1.1369700;1.1355000;1.1360000
1.1284000;1.1371100;1.1280000;1.1285000
1.1277100;1.1321800;1.1273000;1.1284500
1.1284400;1.1312400;1.1267000;1.1277600
1.1222300;1.1295200;1.1271000;1.1283700
1.1224500;1.1287800;1.1206000;1.1222500
1.1222000;1.1224500;1.1222500;1.1222000
1.1213700;1.1226500;1.1216000;1.1225000
1.1207800;1.1234400;1.1205000;1.1213700
1.1250300;1.1219000;1.1192000;1.1207700
1.1253000;1.1264400;1.1200000;1.1250200
1.1268900;1.1286000;1.1244000;1.1254000
1.1270000;1.1275000;1.1237000;1.1268800
1.1257700;1.1270000;1.1268800;1.1273900
1.1209800;1.1283900;1.1252000;1.1257000
1.1224000;1.1263400;1.1200000;1.1209600
1.1276700;1.1233700;1.1198000;1.1223700
1.1219900;1.1280500;1.1204000;1.1276000
1.1221100;1.1282000;1.1202000;1.1220000
1.1213000;1.1221100;1.1220000;1.1215400
1.1207000;1.1219400;1.1212000;1.1214900
1.1151700;1.1225500;1.1205000;1.1208500
1.1139800;1.1209700;1.1144000;1.1151900
1.1146300;1.1155800;1.1126000;1.1140300
1.1125200;1.1187700;1.1100000;1.1146800
1.1127800;1.1151100;1.1111000;1.1127800
1.1129400;1.1127800;1.1127800;1.1126200
1.1141000;1.1132600;1.1120700;1.1129100
1.1156400;1.1151000;1.1112000;1.1142300
1.1071300;1.1161100;1.1131000;1.1156700
1.1078900;1.1162100;1.1059000;1.1071500
1.1108300;1.1096100;1.1025000;1.1078700
1.1107700;1.1116400;1.1068000;1.1109700
1.1240000;1.1113600;1.1100900;1.1107900
1.1205200;1.1245300;1.1105000;1.1241600
1.1203900;1.1249600;1.1166000;1.1204600
1.1186100;1.1241900;1.1177500;1.1204000
1.1197000;1.1232500;1.1176000;1.1186100
